// All values are from https://www.avoindata.fi/data/fi/dataset/none "Sukunimitilasto 2018-03-05"
Rauhala, 2_843
Puustinen, 2_832
Taipale, 2_827
Nyberg, 2_819
Laiho, 2_811
Kilpeläinen, 2_810
Mäntylä, 2_790
Berg, 2_777
Oinonen, 2_757
Mattsson, 2_751
Kuisma, 2_749
Lassila, 2_749
Kankaanpää, 2_739
Lehikoinen, 2_734
Tikka, 2_720
Piirainen, 2_718
Backman, 2_714
Peltoniemi, 2_714
Haapanen, 2_697
Räty, 2_696
Pirinen, 2_693
Niiranen, 2_684
Jaatinen, 2_667
Kivinen, 2_665
Jauhiainen, 2_661
Lipponen, 2_643
Haverinen, 2_629
Korpi, 2_623
Parkkinen, 2_618
Moisio, 2_611
Kärki, 2_601
Pohjola, 2_594
Venäläinen, 2_577
Keinänen, 2_576
Vesterinen, 2_571
Kauppila, 2_564
Kaikkonen, 2_561
Jäntti, 2_559
Ruuskanen, 2_554
Ylönen, 2_553
Valkonen, 2_548
Raatikainen, 2_546
Mononen, 2_530
Haataja, 2_506
Sainio, 2_505
Holmberg, 2_497
Anttonen, 2_474
Rossi, 2_473
Järvelä, 2_463
Syrjälä, 2_449
Kovanen, 2_448
Nikula, 2_446
Tirkkonen, 2_440
Holmström, 2_434
Ahokas, 2_413
Pehkonen, 2_408
Pekkala, 2_393
Huuskonen, 2_377
Palomäki, 2_370
Männistö, 2_363
Karhunen, 2_361
Vuorela, 2_360
Lilja, 2_354
Seppä, 2_344
Sallinen, 2_342
Tiihonen, 2_341
Latvala, 2_338
Valkama, 2_338
Kuronen, 2_337
Oikarinen, 2_329
Konttinen, 2_326
Muhonen, 2_324
Sirén, 2_316
Alanko, 2_312
Elo, 2_305
Alanen, 2_303
Kämäräinen, 2_291
Linna, 2_290
Ryynänen, 2_290
Sjöblom, 2_290
Reinikainen, 2_279
Simola, 2_278
Rönkkö, 2_268
Soini, 2_256
Salomaa, 2_252
Pekkarinen, 2_245
Riihimäki, 2_242
Sirviö, 2_242
Pöllänen, 2_236
Eloranta, 2_231
Keskitalo, 2_230
Lammi, 2_222
Marttinen, 2_216
Kiuru, 2_215
Forsman, 2_206
Kari, 2_206
Airaksinen, 2_205
Nevala, 2_191
Järvi, 2_173
Haapaniemi, 2_167
Antikainen, 2_161
Sutinen, 2_161
Holappa, 2_157
Puranen, 2_157
Sihvonen, 2_153
Simonen, 2_151
Uotila, 2_151
Lankinen, 2_150
Ylinen, 2_147
Grönroos, 2_145
Aro, 2_141
Ihalainen, 2_132
Toivola, 2_098
Paavilainen, 2_093
Tähtinen, 2_093
Kauppi, 2_090
Aarnio, 2_078
Kauhanen, 2_070
Lehti, 2_058
Snellman, 2_056
Joensuu, 2_054
Kiiskinen, 2_050
Sivonen, 2_050
Virolainen, 2_050
Kalliokoski, 2_041
Sundström, 2_039
Luoto, 2_027
Koivuniemi, 2_022
Sormunen, 2_022
Friman, 2_015
Luostarinen, 2_015
Eerola, 2_011
Ruohonen, 2_008
Hassinen, 2_004
Törmänen, 1_998
Westerlund, 1_990
Kotilainen, 1_970
Tuomisto, 1_969
Suvanto, 1_968
Nordström, 1_966
Nenonen, 1_941
Ruuska, 1_930
Sinkkonen, 1_927
Sorsa, 1_926
Laamanen, 1_922
Tervonen, 1_920
Kiiski, 1_919
Koljonen, 1_919
