// All values are from https://www.avoindata.fi/data/fi/dataset/none "Etunimitilasto 2018-03-05"
Mico, 1_106
Milo, 1_101
Kevin, 1_097
Eerik, 1_066
Ulf, 1_060
Dan, 1_054
Casper, 1_052
Kosti, 1_051
Mohamed, 1_047
Tuure, 1_043
Jan-Erik, 1_027
Tobias, 1_012
Helge, 1_010
Sampsa, 1_005
David, 1_001
Artturi, 991
Mathias, 991
Niki, 947
Armas, 934
Ville-Veikko, 927
Allan, 926
Christer, 920
Bror, 915
Visa, 912
Auvo, 907
Adam, 900
Erkka, 900
Magnus, 898
Jens, 895
Ilmo, 893
Edvin, 884
Noah, 874
Taito, 870
Alf, 843
Victor, 837
Iikka, 835
Kjell, 832
Krister, 821
Roger, 818
Valto, 802
Jalo, 800
Jose, 796
Joose, 793
Petrus, 786
Tiitus, 781
Jeremias, 773
Ukko, 772
Eliel, 771
Marco, 767
Niclas, 761
Göran, 761
Jussi-Pekka, 761
Sasu, 761
Aleksanteri, 759
Altti, 757
Vesa-Matti, 756
Waltteri, 749
Albert, 748
Jimmy, 741
Teo, 737
Börje, 732
Isto, 728
Kaarle, 725
Jarl, 720
Jon, 715
Antton, 713
Jonatan, 712
Okko, 712
Nikolas, 699
Filip, 699
Niila, 681
Leon, 666
Johnny, 666
Roy, 661
Ahmed, 656
Tor, 651
Nicolas, 649
Richard, 647
Paulus, 643
Eric, 635
Oula, 635
Noa, 622
Torsti, 620
Turo, 620
Elia, 619
Liam, 615
Iivari, 614
Jim, 614
Jonni, 607
Dennis, 602
Gabriel, 601
Tim, 582
Vincent, 579
Iivo, 579
Hemmo, 573
Rene, 569
Andrei, 567
Christoffer, 565
Åke, 563
Ilja, 562
Venni, 562
Ensio, 561
Nicholas, 557
Håkan, 551
Reko, 549
Ben, 544
Bjarne, 542
Isak, 539
Eevert, 535
Mio, 533
Kauno, 532
Mark, 529
Jalmari, 529
Rafael, 527
Hermanni, 525
Atso, 521
Sam, 518
Aamos, 516
Ville-Pekka, 514
Frank, 512
Raino, 511
Gunnar, 510
Petja, 509
Usko, 509
Nikolai, 503
Vesa-Pekka, 501
Miki, 495
Adrian, 491
Pietari, 491
Juri, 489
Theo, 487
Jasu, 487
Walter, 483
Dani, 483
Eppu, 482
Mirko, 477
Eljas, 467
Jare, 466
Aron, 466
Antti-Jussi, 465
Aapeli, 463
Vladimir, 463
Guy, 461
Arno, 457
Elis, 457
Valter, 455
Arne, 452
Amos, 448
Kari-Pekka, 437
Toimi, 433
Gustav, 433
Georg, 430
Jaro, 429
Aukusti, 426
Mohammad, 420
Pontus, 416
Christopher, 416
Sten, 416
Antti-Pekka, 415
Boris, 410
Aatto, 408
Neo, 406
Einari, 405
Ronny, 404
Kaius, 399
Pekko, 398
Turkka, 397
Arsi, 395
Nicklas, 393
Samppa, 389
Omar, 387
Into, 384
Tage, 383
Aksel, 383
Kent, 380
Rune, 379
Antto, 378
Klas, 376
André, 374
Mattias, 373
Aleksandr, 371
Elliot, 369
Soini, 366
Kristoffer, 360
Jakob, 359
Uuno, 358
Asmo, 351
Sergei, 350
Mikke, 350
Ivan, 348
Wille, 343
Romeo, 341
Osku, 341
Bruno, 340
Nestori, 338
Maxim, 338
Artur, 338
Jonny, 337
Mohammed, 331
Ole, 330
Van, 330
Orvo, 329
Elmer, 329
Pavel, 325
Joa, 325
Igor, 325
Matts, 324
Nino, 324
Arthur, 320
Ville-Petteri, 320
Vilppu, 320
Ibrahim, 315
Philip, 314
Anttoni, 313
Ruben, 313
Svante, 312
Wilhelm, 309
Albin, 307
Pietu, 303
Karo, 302
Pete, 302
James, 301
Abdirahman, 301
Herman, 301
Aleksander, 300
Valde, 300
Mitja, 299
Esa-Pekka, 296
Aake, 295
Lennart, 294
Nikita, 294
Amir, 294
Jacob, 293
Kasimir, 293
Olof, 292
Hannu-Pekka, 292
Pirkka, 292
Muhammad, 291
Joosua, 291
Erkko, 291
Ove, 290
Ville-Matti, 290
Jari-Matti, 289
Jean, 286
Kaino, 286
Karim, 286
Viljam, 286
August, 285
Per-Erik, 285
Mertsi, 285
Denis, 284
Gösta, 284
Alvin, 284
Roman, 283
Maximilian, 282
Vihtori, 282
Asser, 281
Jörgen, 281
Edward, 280
Herkko, 280
Aleksis, 280
Sune, 279
Bernt, 279
Birger, 278
Petro, 278
Roland, 278
Evert, 277
Einar, 275
Marius, 275
Jack, 274
Ari-Matti, 273
Arvid, 273
Edvard, 272
Maunu, 271
Petter, 271
Torsten, 271
Iisakki, 270
Alfred, 270
Valo, 270
Nikke, 270
Totti, 269
Ohto, 267
Benny, 265
Joachim, 265
Masi, 265
Ernst, 261
Rikhard, 260
Aslak, 259
Joshua, 258
Berndt, 258
Juho-Pekka, 257
Jaani, 257
Verner, 256
Jason, 256
Jake, 255
Kuisma, 255
Timo-Pekka, 254
Abdullahi, 254
Rony, 254
