// All values are from https://www.avoindata.fi/data/fi/dataset/none "Etunimitilasto 2018-03-05"
Christina, 1_373
Marjaana, 1_368
Lena, 1_365
Mette, 1_365
Miisa, 1_361
Raisa, 1_350
Marja-Terttu, 1_336
Anitta, 1_331
Seela, 1_322
Kirsi-Marja, 1_318
Aurora, 1_318
Tuovi, 1_303
Laina, 1_292
Kiira, 1_292
Lempi, 1_292
Tilda, 1_289
Iisa, 1_283
Ninni, 1_282
Tia, 1_256
Annukka, 1_249
Mikaela, 1_249
Kyllikki, 1_241
Aliisa, 1_239
Cecilia, 1_239
Inger, 1_213
Miina, 1_209
Hanna-Mari, 1_205
Hanna-Leena, 1_194
Ira, 1_175
Thi, 1_175
Elin, 1_170
Berit, 1_166
Reeta, 1_165
Helinä, 1_160
Melissa, 1_141
Anna-Mari, 1_139
Henni, 1_129
Marja-Riitta, 1_125
Barbro, 1_120
Siv, 1_120
Raila, 1_117
Kaisla, 1_115
Elise, 1_107
Tina, 1_105
Siru, 1_098
Else, 1_097
Daniela, 1_094
Marianna, 1_089
Carola, 1_088
Sointu, 1_085
Lisa, 1_082
Tuulia, 1_079
Aura, 1_079
Melina, 1_066
Stina, 1_066
Malin, 1_064
Solveig, 1_050
Katarina, 1_041
Hely, 1_038
Anna-Leena, 1_014
Pirkko-Liisa, 1_012
Saima, 1_011
Valma, 1_009
Svetlana, 1_004
Karita, 996
Gunilla, 973
Enna, 971
Anne-Maria, 968
Annina, 966
Pilvi, 965
Marie, 964
Liina, 962
Marjo-Riitta, 962
Sanna-Mari, 961
Teresa, 957
Tinja, 955
Carina, 954
Maj-Britt, 948
Taika, 931
Ester, 928
Juuli, 928
Lyyli, 923
Saaga, 922
Säde, 922
Elle, 921
Mimosa, 916
Mea, 914
Neela, 910
Lina, 906
Leea, 905
Virva, 903
Erin, 901
Lilian, 899
Susan, 896
Kira, 892
Eliisa, 892
Greta, 885
Tessa, 881
Monika, 876
Henriikka, 871
Maija-Leena, 864
Hanna-Kaisa, 863
Gun, 860
Diana, 856
Sarah, 854
Milka, 850
Nanna, 849
Victoria, 845
Inna, 840
Astrid, 838
Liisi, 836
Gunnel, 836
Charlotta, 833
Bertta, 833
Tatiana, 831
Riia, 829
Janica, 827
Erica, 826
Aulikki, 824
Tellervo, 821
Marjukka, 802
Rebecca, 801
Anne-Marie, 800
Janni, 794
Nadja, 792
Åsa, 784
Harriet, 783
Mirjami, 777
Edith, 777
Annu, 775
Josefiina, 774
Margareta, 773
Ansa, 771
